Loan,Region,Rating,EAD,LGD,PD,Alpha,Gamma,Threshold
1,0,1,39729.36,0.2,0.0002,0.56,0.828492607,-3.540083799
2,0,2,75488.56,0.2,0.0006,0.46,0.887918915,-3.238880118
3,0,2,356154.8,0.2,0.0006,0.73,0.683447145,-3.238880118
4,0,5,88918,0.2,0.0568,0.21,0.977701386,-1.582217179
5,0,4,59349.28,0.2,0.0148,0.58,0.814616474,-2.175402064
6,0,2,21696.12,0.2,0.0006,0.61,0.792401413,-3.238880118
7,0,1,120648.64,0.2,0.0002,0.68,0.733212111,-3.540083799
8,0,4,87091.45,0.2,0.0148,0.62,0.78460181,-2.175402064
9,0,4,130107.65,0.2,0.0148,0.23,0.973190629,-2.175402064
10,0,2,174036.31,0.2,0.0006,0.34,0.940425436,-3.238880118
11,0,4,120612.95,0.2,0.0148,0.21,0.977701386,-2.175402064
12,0,3,25825.15,0.2,0.0064,0.37,0.929031754,-2.489285865
13,0,5,44808.98,0.2,0.0568,0.23,0.973190629,-1.582217179
14,0,5,60306.51,0.2,0.0568,0.68,0.733212111,-1.582217179
15,0,4,77757.88,0.2,0.0148,0.48,0.877268488,-2.175402064
16,0,3,85525.36,0.2,0.0064,0.74,0.672606869,-2.489285865
17,0,3,219416.07,0.2,0.0064,0.65,0.759934208,-2.489285865
18,0,3,229857.35,0.2,0.0064,0.37,0.929031754,-2.489285865
19,0,2,275294.27,0.2,0.0006,0.35,0.9367497,-3.238880118
20,0,4,56095.24,0.2,0.0148,0.49,0.871722433,-2.175402064
21,0,2,135064.15,0.2,0.0006,0.52,0.85416626,-3.238880118
22,0,4,69634.51,0.2,0.0148,0.22,0.975499872,-2.175402064
23,0,3,13257.59,0.2,0.0064,0.34,0.940425436,-2.489285865
24,0,1,110942.13,0.2,0.0002,0.36,0.932952303,-3.540083799
25,0,4,168877.3,0.2,0.0148,0.22,0.975499872,-2.175402064
26,0,3,82628.2,0.2,0.0064,0.38,0.924986486,-2.489285865
27,0,3,58513.55,0.2,0.0064,0.76,0.649923072,-2.489285865
28,0,3,276997.76,0.2,0.0064,0.32,0.947417543,-2.489285865
29,0,2,116192.21,0.2,0.0006,0.48,0.877268488,-3.238880118
30,0,2,74463.46,0.2,0.0006,0.69,0.723809367,-3.238880118
31,0,3,207886.61,0.2,0.0064,0.51,0.860174401,-2.489285865
32,0,4,18250.76,0.2,0.0148,0.53,0.847997642,-2.175402064
33,0,3,7443.85,0.2,0.0064,0.69,0.723809367,-2.489285865
34,0,2,24079.37,0.2,0.0006,0.38,0.924986486,-3.238880118
35,0,3,7300.73,0.2,0.0064,0.38,0.924986486,-2.489285865
36,0,3,182225.12,0.2,0.0064,0.22,0.975499872,-2.489285865
37,0,4,32495.59,0.2,0.0148,0.71,0.704201676,-2.175402064
38,0,4,61973.72,0.2,0.0148,0.51,0.860174401,-2.175402064
39,0,3,183793.51,0.2,0.0064,0.23,0.973190629,-2.489285865
40,0,4,37083.15,0.2,0.0148,0.29,0.957026645,-2.175402064
41,0,2,29549.85,0.2,0.0006,0.38,0.924986486,-3.238880118
42,0,3,190545.81,0.2,0.0064,0.7,0.714142843,-2.489285865
43,0,4,292865.37,0.2,0.0148,0.35,0.9367497,-2.175402064
44,0,3,23437.85,0.2,0.0064,0.43,0.902828887,-2.489285865
45,0,2,38263.12,0.2,0.0006,0.78,0.625779514,-3.238880118
46,0,2,160476.85,0.2,0.0006,0.68,0.733212111,-3.238880118
47,0,4,34650.48,0.2,0.0148,0.55,0.835164654,-2.175402064
48,0,4,81587.38,0.2,0.0148,0.7,0.714142843,-2.175402064
49,0,1,118041.29,0.2,0.0002,0.28,0.96,-3.540083799
